start_station_name,start_lat,start_lng
Norman St & Wyckoff Ave,40.69517,-73.90311
Pulaski St & Marcus Garvey Blvd,40.693425059,-73.939802647
Myrtle Ave & St Edwards St,40.69327018,-73.97703874
Knickerbocker Ave & Hancock St,40.693862796,-73.909945965
Putnam Ave & Knickerbocker Ave,40.69545,-73.91164
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
Johnson St & Gold St,40.69474881,-73.98362464
Menahan St & Central Ave,40.69543,-73.9196
Cadman Plaza E & Tillary St,40.69597683,-73.99014892
Montague St & Clinton St,40.6942715,-73.9923272
Bushwick Ave & Dekalb Ave,40.694979548,-73.928262949
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
Cypress Ave & St Felix Ave,40.69559,-73.89927
Suydam St & Broadway,40.69544,-73.93223
Stuyvesant Ave & Hart St,40.69465,-73.9343
Clermont Ave & Park Ave,40.695698738,-73.971269131
Irving Ave & Halsey St,40.694699526,-73.906707644
Throop Ave & Myrtle Ave,40.696308851,-73.943745971
Park Ave & St Edwards St,40.69608941,-73.97803415
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
Jay St & Tech Pl,40.695025086,-73.987132072
Central Ave & Himrod St,40.696701884,-73.922903895
Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389
St Felix Ave & 61 St,40.69715,-73.8936
Cedar St & Evergreen Ave,40.69671,-73.92807
Washington Ave & Park Ave,40.69610226,-73.96751037
Summerfield St & Cypress Ave,40.696550012,-73.900664091
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
Carlton Ave & Park Ave,40.69580705,-73.97355569
Carlton Ave & Flushing Ave,40.697787,-73.973736
Putnam Ave & Wyckoff Ave,40.69811,-73.90904
Hancock St & Wyckoff Ave,40.6972,-73.90674
Linden St & Knickerbocker Ave,40.69714,-73.91566
Clinton St & Tillary St,40.696228623,-73.991452694
Cedar St & Myrtle Ave,40.697842,-73.926241
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
Seneca Ave & Decatur St,40.69723,-73.89811
Willoughby Ave & Myrtle Ave,40.69757,-73.93098
Clinton Ave & Flushing Ave,40.69794,-73.96986848
